Feature,Estimate,Std Error,t-stat,p-Value
Intercept,62540.2223,291.9502,43.9358,0.0000
MIN_YEARS_EXPERIENCE,12827.0612,20.7388,-22.1334,0.0000
MIN_YEARS_EXPERIENCE_SQ,-459.0208,23.2550,-3.8437,0.0001
DURATION,-89.3853,4892.8155,0.9369,0.3488
IS_INTERNSHIP,4584.0005,918.9098,-3.1260,0.0018
COMPANY_IS_STAFFING,-2872.4972,2030.2872,-0.6028,0.5467
EMPLOYMENT_TYPE_NAME_vec_Fulltime,-1223.8212,2578.9448,-2.9037,0.0037
EMPLOYMENT_TYPE_NAME_vec_Parttime,-7488.6018,2022.9924,5.1926,0.0000
REMOTE_TYPE_NAME_vec_Undefined,10504.5657,2079.4914,6.5294,0.0000
REMOTE_TYPE_NAME_vec_Remote,13577.9007,2512.8970,7.3258,0.0000
REMOTE_TYPE_NAME_vec_Hybrid,18409.0468,2811.2254,22.2466,0.0000
